Latitude,Longitude,Date,Depth_m,SST_C,Salinity_PSU,Chlorophyll_mg_m3,Tide,Moon_Phase,Fish_Species,Catch_kg
10.1944,78.1143,2024-07-04,30,30.92,33.12,0.84,High,Full Moon,Tuna,68.7
10.211,79.4342,2023-10-20,30,26.83,33.88,1.85,High,Waxing,Pomfret,70.5
9.8066,77.7829,2024-08-22,70,28.73,34.18,0.71,High,Full Moon,Anchovy,90.6
9.7816,78.0048,2024-04-10,5,27.25,35.08,1.82,High,New Moon,Sardine,21.6
9.1235,78.4074,2024-06-20,70,27.92,35.37,1.07,High,Waxing,Seer Fish,60.2
9.9207,79.7806,2024-08-02,100,29.3,33.45,1.75,High,New Moon,Anchovy,49.7
9.8254,79.9024,2023-10-23,70,26.9,35.7,1.92,High,Waning,Tuna,6.8
9.2441,78.7466,2023-01-06,50,30.41,33.71,1.22,Low,Waxing,Anchovy,69.1
9.503,77.5164,2024-07-14,20,29.1,34.67,1.67,High,Full Moon,Mackerel,13.0
8.8725,77.8634,2023-02-03,70,28.89,34.81,0.73,High,New Moon,Sardine,65.5
8.4456,79.1802,2024-09-17,70,29.46,34.78,1.6,High,Waxing,Pomfret,89.0
10.3287,77.7328,2023-11-03,20,27.84,34.14,0.23,Low,Waning,Sardine,47.5
8.3364,79.2365,2023-10-09,20,28.64,34.57,1.42,High,New Moon,Seer Fish,110.8
9.5724,79.968,2024-05-10,70,29.44,35.8,1.97,Low,Waxing,Seer Fish,127.9
8.6492,78.9379,2024-09-30,20,30.64,34.84,1.04,Low,Waxing,Mackerel,133.1
8.5818,78.2262,2023-07-18,5,26.59,34.39,1.61,High,Waning,Anchovy,65.0
8.8345,78.901,2024-10-14,10,26.06,33.6,0.64,High,Quarter,Tuna,78.5
8.8098,77.5153,2024-12-03,20,27.71,35.17,1.27,High,Full Moon,Mackerel,52.9
8.8448,79.1812,2024-04-30,100,26.18,33.41,0.4,Low,Waning,Tuna,72.1
10.0354,79.8195,2023-02-27,100,28.61,34.69,1.39,High,Full Moon,Seer Fish,104.4
9.9988,79.7201,2023-12-29,5,30.85,33.84,0.16,Low,Waning,Mackerel,87.8
8.9739,78.988,2023-11-12,70,30.29,35.13,0.62,High,Waxing,Mackerel,58.9
10.0736,78.2566,2024-06-21,20,26.88,34.12,0.17,High,New Moon,Anchovy,78.4
9.9976,79.7624,2023-06-07,10,27.7,34.45,1.76,Low,Quarter,Mackerel,116.6
8.2456,79.9557,2024-06-12,70,30.96,33.62,0.17,Low,Waning,Sardine,5.6
10.3308,79.2176,2024-08-31,100,26.44,34.4,0.19,Low,New Moon,Seer Fish,115.0
9.5971,78.0246,2023-07-25,10,27.43,34.6,1.57,High,Quarter,Mackerel,27.8
8.2862,79.8957,2024-07-27,50,26.51,34.63,1.14,Low,Full Moon,Pomfret,121.6
9.4352,77.9282,2023-11-15,50,30.46,34.62,0.2,High,Waxing,Pomfret,12.3
8.959,77.7153,2024-02-06,10,29.52,35.67,1.3,Low,Waning,Tuna,50.3
10.0436,79.2822,2024-11-17,100,28.67,35.92,1.54,Low,Waning,Mackerel,18.5
10.0059,79.2465,2023-04-10,30,27.55,34.93,1.56,Low,Full Moon,Mackerel,25.8
